nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Ebersheim,67115,246700967,Plan Local d'Urbanisme (PLU) de la commune de EBERSHEIM,PLU,86e3aeb923c7874e80bd3455f01aac22,11/05/2026 10:02:51,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/86e3aeb923c7874e80bd3455f01aac22/files/67115_reglement_20260303.pdf,2026-08-12,document trouvé
Ebersmunster,67116,246700967,,,,,,,2026-08-12,trou de couverture
Eckartswiller,67117,200068112,,,,,,,2026-08-12,trou de couverture
Eckbolsheim,67118,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Eckwersheim,67119,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Eichhoffen,67120,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Elsenheim,67121,200030526,,,,,,,2026-08-12,trou de couverture
Wangenbourg-Engenthal,67122,200068864,,,,,,,2026-08-12,trou de couverture
Engwiller,67123,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Entzheim,67124,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
